vital,"[形]①(〜にとって)非常に重要な(to, for 〜)②生命の"
vitality,[名]生命力、活力
vivid,[形]生き生きとした、鮮やかな
revive,"[他]〜を生き返らせる、生き返る
[自]生き返る"
revival,[名]生き返り、蘇生
essential,"[形](〜にとって)重要な、必要不可欠な(to, for 〜)；本質的な"
essentially,[副]本質的に
essence,[名]本質
in essence,◆本質的には
indispensable,"[形](〜にとって)重要な、必要不可欠な(to, for 〜)"
dispense with,[句]〜なしで済ます
crucial,[形]決定的な、極めて重要な
significance,[名]重要性
be of significance,◆重要である
signify,[他]〜を意味する
sighficant,[形]重要な；かなりの(大きさの)
significantly,[副]かなり
consequence,[名]①結果 ②重要さ
as a consequence,◆その結果
be of consequence,◆重要である
consequently,[副]その結果、従って
matter,"[名]事柄、問題
[自]重要である"
count,"[他]〜を数える
[自]重要である"
make a difference,[句]重要である、影響を及ぼす
trivial,[形]ささいな、ありふれた
triviality,[名]ささいな事、くだらない事
trifle,[名]ささいな事、くだらない事
common,[形]①共通の ②よくある、一般的な、ありふれた
common sense,◆常識
have Ａ in common,◆Ａを共通点として持つ
commonplace,[形]ありふれた、平凡な
ordinary,[形]普通の、通常の、ありふれた
extraordinary,[形]並はずれた、特別の
extraordinarily,[副]並はずれて、非常に
familiar,[形](〜に)よく知られた(to 〜)；(〜に)精通している(with 〜)
"物 is familiar to 人
≒ 人 is familiar with 物",◆人が物をよく知っている
familiarity,[名]精通
emphasize,[他]〜を強調する
emphasis,"[名]強調、重視
★複数形：emphases"
"put [lay, place] (an)emphasis on Ａ",◆Ａを重視する
emphatic,[形]強調された
stress,"[他]〜を強調する
[名]①ストレス ②重点、強調"
relieve stress,◆ストレスを軽減する
feel stress,◆ストレスを感じる
"put [lay, place] (a)stress on Ａ",◆Ａを重視する
neglect,[他]〜を(うっかり)怠る、軽視する
negligence,[名]無視、怠慢
negligible,[形]無視し得る、つまらない
ignore,[他]〜を(意図的に)無視する、知らないふりをする
ignorant,[形]無知の、(〜を)知らない(of 〜)
ignorance,[名]無知
eminent,[形]著名な
prominent,[形]目立った；有名な
prominence,[名]目立つこと、卓越
primary,[形]第１の、主要な
primarily,[副]第１に
prime,[形]最高の、主要な
Prime Minister,◆首相
tiny,"[形]ちっぽけな
★形・数・量の小ささを表す"
slight,"[形]わずかな、取るに足らない
★程度の小ささを表す"
slightly,[副]わずかに
